road_key,canonical_display_name,alias_name,source_system,alias_role
HSS-KAB-105,Sarang Halang Padang - Sp. Batang Kulur,Sarang Halang Padang - SP Batang Kulur,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-106,Hamalau - Ganda,Hamalau - Ganda,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-106,Hamalau - Ganda,Jl. Hamalau - Ganda,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-107,Tamiyang - Ds. Tamiyang (Eks TMMD),Tamiyang - Ds. Tamiyang (Eks TMMD),dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-107,Tamiyang - Ds. Tamiyang (Eks TMMD),Jl. Tamiyang - Ds. Tamiyang (Eks TMMD),qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-108,Tanah Bangkang Menuju Balai Benih Ikan,Tanah Bangkang Menuju Balai Benih Ikan,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-108,Tanah Bangkang Menuju Balai Benih Ikan,Jl. Tanah Bangkang Menuju Balai Benih Ikan,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-109,Karang Intan - Tanah Bangkang,Karang Intan - Tanah Bangkang,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-109,Karang Intan - Tanah Bangkang,Jl. Karang Intan - Tanah Bangkang,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-110,Haritas (PT. Pertani),Jl. Haritas (PT. Pertani),dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-111,Paharuangan - Sei. Raya Selatan,Paharuangan - Sei. Raya Selatan,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-111,Paharuangan - Sei. Raya Selatan,Paharuangan - Sungai Raya Selatan,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-112,Bangga TMMD,Jl. Bangga TMMD,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-113,Batang Kulur Kiri - Durian Landung,Batang Kulur Kiri - Durian Landung,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-113,Batang Kulur Kiri - Durian Landung,Jl. Batang Kulur Kiri - Durian Landung,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-114,Taminung,Jl. Taminung,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-115,Matang Gadung - Halalang,Matang Gadung - Halalang,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-115,Matang Gadung - Halalang,Jl. Matang Gadung - Halalang,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-116,Sungai Raya Utara - Teluk Pinang _x000D_,Sungai Raya Utara - Teluk Pinang _x000D_,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-116,Sungai Raya Utara - Teluk Pinang _x000D_,Jl. Sungai Raya Utara-Teluk Pinang,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-117,Mangunang - Ds. Sungai Raya Utara,Jl. Mangunang - Ds. Sungai Raya Utara,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-117,Mangunang - Ds. Sungai Raya Utara,Jl. Mangunang,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-118,Hamalau - Asam Cangkok,Hamalau - Asam Cangkok,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-119,Hariti - Sungai Raya Selatan,Hariti - Sungai Raya Selatan,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-119,Hariti - Sungai Raya Selatan,Jl. Hariti - Sungai Raya Selatan,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-120,Mangaris - Limau Manis,Mangaris - Limau Manis,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-121,Munggu Raya - Ds. Hariti,Jl. Munggu Raya - Ds. Hariti,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-122,Paharuangan - Asam Dua,Paharuangan - Asam Dua,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-123,Asam Seranggan - Asam Tamiyang,Asam Seranggan - Asam Tamiyang,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-124,Papancan - Ds. Tanah Bangkang,Jl. Papancan - Ds. Tanah Bangkang,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-125,Baru - Asam Desa Baru,Jl. Baru - Asam Desa Baru,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-125,Baru - Asam Desa Baru,Jl. Baru - Asam Desa Baru/Asam,qgis_county_roads,IMPORT_SEARCH_ONLY
HSS-KAB-126,Sungai Namang - Ds. Tanah Bangkang,Jl. Sungai Namang - Ds. Tanah Bangkang,dashboard_2025,IMPORT_SEARCH_ONLY
HSS-KAB-127,Jarau - Parandakan,Jarau - Parandakan,dashboard_2025,IMPORT_SEARCH_ONLY
