road_key,road_geometry_id,source_road_code,source_object_id_nonunique,candidate_nomor_ruas,identity_match_status,display_name,village_count_spatial,villages_spatial,district_count_spatial,districts_spatial
HSS-KAB-107,hss-county-107,107,2465,107,exact_normalized,Jl. Tamiyang - Ds. Tamiyang (Eks TMMD),2,Bumi Berkat; Tamiyang,1,Sungai Raya
HSS-KAB-108,hss-county-108,108,96,108,exact_normalized,Jl. Tanah Bangkang Menuju Balai Benih Ikan,1,Pahampangan,1,Padang Batung
HSS-KAB-109,hss-county-109,109,98,119,exact_normalized,Jl. Karang Intan - Tanah Bangkang,2,Sungai Raya Selatan; Tanah Bangkang,1,Sungai Raya
HSS-KAB-110,hss-county-110,110,99,110,exact_normalized,Jl. Haritas (PT. Pertani),2,Batang Kulur Tengah; Hariti,1,Sungai Raya
HSS-KAB-111,hss-county-111,111,101,111,exact_normalized,Paharuangan - Sungai Raya Selatan,1,Sungai Raya Selatan,1,Sungai Raya
HSS-KAB-112,hss-county-112,112,102,112,exact_normalized,Jl. Bangga TMMD,1,Telaga Bidadari,1,Sungai Raya
HSS-KAB-113,hss-county-113,113,1004,113,exact_normalized,Jl. Batang Kulur Kiri - Durian Landung,2,Batang Kulur Kiri; Paring Agung,1,Sungai Raya
HSS-KAB-114,hss-county-114,114,104,114,exact_normalized,Jl. Taminung,2,Sarang Halang; Telaga Bidadari,1,Sungai Raya
HSS-KAB-115,hss-county-115,115,55,115,exact_normalized,Jl. Matang Gadung - Halalang,1,Telaga Bidadari,1,Sungai Raya
HSS-KAB-116,hss-county-116,116,325,116,exact_normalized,Jl. Sungai Raya Utara-Teluk Pinang,2,Karasikan; Sungai Raya Utara,1,Sungai Raya
HSS-KAB-117,hss-county-117,117,341,,unresolved,Jl. Mangunang,1,Sungai Raya Utara,1,Sungai Raya
HSS-KAB-118,hss-county-118,118,340,118,exact_normalized,Hamalau - Asam Cangkok,2,Amawang Kanan; Telaga Bidadari,2,Kandangan; Sungai Raya
HSS-KAB-119,hss-county-119,119,97,119,exact_normalized,Jl. Hariti - Sungai Raya Selatan,3,Batang Kulur Kiri; Hariti; Sungai Raya Selatan,1,Sungai Raya
HSS-KAB-120,hss-county-120,120,651,120,exact_normalized,Mangaris - Limau Manis,2,Hariti; Ida Manggala,1,Sungai Raya
HSS-KAB-121,hss-county-121,121,99,121,exact_normalized,Jl. Munggu Raya - Ds. Hariti,1,Hariti,1,Sungai Raya
HSS-KAB-122,hss-county-122,122,0,122,exact_normalized,Paharuangan - Asam Dua,1,Sungai Raya Selatan,1,Sungai Raya
HSS-KAB-123,hss-county-123,123,2465,123,exact_normalized,Asam Seranggan - Asam Tamiyang,2,Asam; Tamiyang,1,Sungai Raya
HSS-KAB-124,hss-county-124,124,99,124,exact_normalized,Jl. Papancan - Ds. Tanah Bangkang,3,Pahampangan; Sungai Raya Utara; Tanah Bangkang,2,Padang Batung; Sungai Raya
HSS-KAB-125,hss-county-125,125,2458,,unresolved,Jl. Baru - Asam Desa Baru/Asam,2,Asam; Baru,1,Sungai Raya
HSS-KAB-126,hss-county-126,126,99,126,exact_normalized,Jl. Sungai Namang - Ds. Tanah Bangkang,1,Tanah Bangkang,1,Sungai Raya
HSS-KAB-127,hss-county-127,127,99,127,exact_normalized,Jl. Jarau - Parandakan,1,Ida Manggala,1,Sungai Raya
HSS-KAB-128,hss-county-128,128,99,128,exact_normalized,Jl. Mungkur Galah - Lokpaikat,1,Bumi Berkat,1,Sungai Raya
HSS-KAB-129,hss-county-129,129,0,129,exact_normalized,Batang Kulur Kanan - Bumi Berkat (Jl. Kisung),2,Batang Kulur Kanan; Bumi Berkat,1,Sungai Raya
HSS-KAB-130,hss-county-130,130,99,130,exact_normalized,Batang Kulur Kanan - Batang Kulur Kiri,2,Batang Kulur Kiri; Batang Kulur Tengah,1,Sungai Raya
HSS-KAB-131,hss-county-131,131,0,,unresolved,Jl. Manggis,3,Asam; Baru; Sungai Kali,1,Sungai Raya
HSS-KAB-132,hss-county-132,132,0,,unresolved,Jl. TPA Sungai Raya Selatan,1,Sungai Raya Selatan,1,Sungai Raya
HSS-KAB-133,hss-county-133,133,341,133,exact_normalized,Jl. Pembangunan - Ds. Sungai Raya Utara,2,Sarang Halang; Sungai Raya Utara,1,Sungai Raya
HSS-KAB-134,hss-county-134,134,341,134,exact_normalized,Jl. Kalaka Dayuh - Ds. Sungai Raya Utara,1,Sungai Raya Utara,1,Sungai Raya
HSS-KAB-135,hss-county-135,135,88,135,exact_normalized,Teluk Pinang - Padang Rasau,3,Baluti; Jambu Hilir; Jembatan Merah,2,Kandangan; Padang Batung
HSS-KAB-136,hss-county-136,136,105,136,treatment_engine_alias,Tanayung - Simpang Ambarai,2,Karang Jawa; Pandulangan,1,Padang Batung
HSS-KAB-137,hss-county-137,137,106,137,exact_normalized,Tabihi - Telaga Langsat,4,Ambutun; Mandala; Pandulangan; Tabihi,2,Padang Batung; Telaga Langsat
HSS-KAB-138,hss-county-138,138,108,138,exact_normalized,Karang Jawa - Ambarai - Sungai Bungur,4,Karang Jawa; Karang Jawa Muka; Madang; Pandulangan,1,Padang Batung
HSS-KAB-139,hss-county-139,139,109,149,exact_normalized,Ambarai - Madang,2,Karang Jawa; Madang,1,Padang Batung
HSS-KAB-140,hss-county-140,140,133,140,treatment_engine_alias,Padang Batung - Batu Laki - Malilingin,5,Batu Laki; Durian Rabung; Jelatang; Malilingin; Padang Batung,1,Padang Batung
HSS-KAB-141,hss-county-141,141,133,141,exact_normalized,Malilingin - Lokbahan - Paniungan,1,Malilingin,1,Padang Batung
HSS-KAB-142,hss-county-142,142,164,142,exact_normalized,Mawangi - Bukuanin - Telaga Langsat,4,Hamak; Hamak Timur; Mandala; Mawangi,2,Padang Batung; Telaga Langsat
HSS-KAB-143,hss-county-143,143,113,143,exact_normalized,Mandapai - Madang,2,Batu Bini; Madang,1,Padang Batung
HSS-KAB-144,hss-county-144,144,114,144,exact_normalized,Kaliring - SP. Padang Batung,2,Kaliring; Padang Batung,1,Padang Batung
HSS-KAB-145,hss-county-145,145,81,145,exact_normalized,Pagar Haur - Malutu,1,Jelatang,1,Padang Batung
HSS-KAB-146,hss-county-146,146,400,146,exact_normalized,Simpang Malutu - Pahampangan,4,Malutu; Pahampangan; Sungai Raya Selatan; Tanah Bangkang,2,Padang Batung; Sungai Raya
HSS-KAB-147,hss-county-147,147,118,147,exact_normalized,Simpang Malutu - Tambak,2,Jelatang; Malutu,1,Padang Batung
HSS-KAB-148,hss-county-148,148,119,148,exact_normalized,Pagat Batu - Muara Hariang,1,Batu Bini,1,Padang Batung
HSS-KAB-149,hss-county-149,149,121,159,exact_normalized,Paku (Jambu Hulu) - Ganda,2,Baluti; Jambu Hulu,2,Kandangan; Padang Batung
HSS-KAB-150,hss-county-150,150,123,150,exact_normalized,SP.3 Bukuanin - Riam Talo,2,Halunuk; Mawangi,2,Loksado; Padang Batung
HSS-KAB-151,hss-county-151,151,167,151,exact_normalized,SP.3 Bukuanin - Tayub,2,Madang; Mawangi,1,Padang Batung
HSS-KAB-152,hss-county-152,152,122,152,exact_normalized,Madang - Ambutun,2,Ambutun; Madang,2,Padang Batung; Telaga Langsat
HSS-KAB-153,hss-county-153,153,125,153,exact_normalized,Jl. Monumen 17 Mei - Mandapai,1,Batu Bini,1,Padang Batung
HSS-KAB-154,hss-county-154,154,126,154,treatment_engine_alias,Batulaki - Muara Pipii,1,Batu Laki,1,Padang Batung
HSS-KAB-155,hss-county-155,155,127,155,exact_normalized,Muara Pipii - Tambak Pipii,1,Batu Laki,1,Padang Batung
HSS-KAB-156,hss-county-156,156,128,156,exact_normalized,Tambak Pipii - Malilingin,2,Batu Laki; Malilingin,1,Padang Batung
HSS-KAB-157,hss-county-157,157,129,157,exact_normalized,Malilingin - Muara Hariang,2,Batu Bini; Malilingin,1,Padang Batung
HSS-KAB-158,hss-county-158,158,132,158,exact_normalized,Mawangi - Pariangan,2,Batu Bini; Mawangi,1,Padang Batung
HSS-KAB-159,hss-county-159,159,342,169,exact_normalized,Jambu Hulu - Paku Pantai,1,Jambu Hulu,1,Padang Batung
HSS-KAB-160,hss-county-160,160,99,160,exact_normalized,Jl. Sungai Minting - Ds. Malutu,1,Malutu,1,Padang Batung
HSS-KAB-161,hss-county-161,161,100,161,exact_normalized,Jl. Padang Rasau (Tambak Tamiang) - Paku Pantai,2,Baluti; Jambu Hulu,2,Kandangan; Padang Batung
HSS-KAB-162,hss-county-162,162,167,162,exact_normalized,Jl. Galuntang Tayub - Ds. Madang,1,Madang,1,Padang Batung
HSS-KAB-163,hss-county-163,163,99,163,exact_normalized,Jl. Menuju SMPN Malilingin,1,Malilingin,1,Padang Batung
HSS-KAB-164,hss-county-164,164,125,164,exact_normalized,Jl. Samping Mesjid Mandapai,1,Batu Bini,1,Padang Batung
HSS-KAB-165,hss-county-165,165,938,165,exact_normalized,Muara Hariang - Bayumbung,2,Batu Bini; Halunuk,2,Loksado; Padang Batung
HSS-KAB-166,hss-county-166,166,344,166,exact_normalized,Tambak Pipii - Batu Ampar,1,Batu Laki,1,Padang Batung
HSS-KAB-167,hss-county-167,167,56,167,exact_normalized,Bakarung - Rantauan,4,Bakarung; Gambah Dalam Barat; Gambah Luar; Taniran Selatan,2,Angkinang; Kandangan
