road_key,road_geometry_id,source_road_code,source_object_id,candidate_nomor_ruas,identity_match_status,display_name,district_id,district_name,intersection_length_m
HSS-KAB-154,hss-county-154,154,126,154,treatment_engine_alias,Batulaki - Muara Pipii,63.06.02,Padang Batung,4256.72
HSS-KAB-155,hss-county-155,155,127,155,exact_normalized,Muara Pipii - Tambak Pipii,63.06.02,Padang Batung,4646.05
HSS-KAB-156,hss-county-156,156,128,156,exact_normalized,Tambak Pipii - Malilingin,63.06.02,Padang Batung,4883.39
HSS-KAB-157,hss-county-157,157,129,157,exact_normalized,Malilingin - Muara Hariang,63.06.02,Padang Batung,4744.78
HSS-KAB-158,hss-county-158,158,132,158,exact_normalized,Mawangi - Pariangan,63.06.02,Padang Batung,2352.39
HSS-KAB-159,hss-county-159,159,342,169,exact_normalized,Jambu Hulu - Paku Pantai,63.06.02,Padang Batung,1619.78
HSS-KAB-160,hss-county-160,160,99,160,exact_normalized,Jl. Sungai Minting - Ds. Malutu,63.06.02,Padang Batung,470.49
HSS-KAB-161,hss-county-161,161,100,161,exact_normalized,Jl. Padang Rasau (Tambak Tamiang) - Paku Pantai,63.06.02,Padang Batung,1957.25
HSS-KAB-161,hss-county-161,161,100,161,exact_normalized,Jl. Padang Rasau (Tambak Tamiang) - Paku Pantai,63.06.05,Kandangan,273.28
HSS-KAB-162,hss-county-162,162,167,162,exact_normalized,Jl. Galuntang Tayub - Ds. Madang,63.06.02,Padang Batung,2342.85
HSS-KAB-163,hss-county-163,163,99,163,exact_normalized,Jl. Menuju SMPN Malilingin,63.06.02,Padang Batung,446.73
HSS-KAB-164,hss-county-164,164,125,164,exact_normalized,Jl. Samping Mesjid Mandapai,63.06.02,Padang Batung,241.86
HSS-KAB-165,hss-county-165,165,938,165,exact_normalized,Muara Hariang - Bayumbung,63.06.02,Padang Batung,1875.99
HSS-KAB-165,hss-county-165,165,938,165,exact_normalized,Muara Hariang - Bayumbung,63.06.10,Loksado,2571.11
HSS-KAB-166,hss-county-166,166,344,166,exact_normalized,Tambak Pipii - Batu Ampar,63.06.02,Padang Batung,1179.23
HSS-KAB-167,hss-county-167,167,56,167,exact_normalized,Bakarung - Rantauan,63.06.04,Angkinang,837.91
HSS-KAB-167,hss-county-167,167,56,167,exact_normalized,Bakarung - Rantauan,63.06.05,Kandangan,2188.6
HSS-KAB-168,hss-county-168,168,135,168,exact_normalized,Taniran Selatan - Rantauan,63.06.04,Angkinang,1090.93
HSS-KAB-168,hss-county-168,168,135,168,exact_normalized,Taniran Selatan - Rantauan,63.06.05,Kandangan,23.72
HSS-KAB-169,hss-county-169,169,107,179,exact_normalized,Bakarung - Tabihi -Karang Jawa,63.06.02,Padang Batung,3893.26
HSS-KAB-169,hss-county-169,169,107,179,exact_normalized,Bakarung - Tabihi -Karang Jawa,63.06.04,Angkinang,681.39
HSS-KAB-170,hss-county-170,170,137,170,exact_normalized,Pandulangan - Kalinduku,63.06.02,Padang Batung,367.91
HSS-KAB-170,hss-county-170,170,137,170,exact_normalized,Pandulangan - Kalinduku,63.06.04,Angkinang,707.99
